Stage,Genotype,Rep,Sugars,RFOs,Oil,Protein
R5,Williams 82,1_1,12.87340046,0.037491738,5.996257532,31.88249914
R5,Williams 82,1_2,14.48037121,0.057864442,9.809524729,32.54764051
R5,Williams 82,1_3,11.26642971,0.017119034,16.25719396,31.21735777
R5,Williams 82,2_1,7.697000705,0.021582633,6.717196767,38.12763717
R5,Williams 82,2_2,10.44354695,0.021776167,7.966451039,38.76581186
R5,Williams 82,2_3,9.070273829,0.0216794,8.013658454,36.96850389
R5,FN300012,1_1,8.011552285,0.033259449,11.53749816,41.51814492
R5,FN300012,1_2,1.377145545,0.00337727,8.342409571,39.01457193
R5,FN300012,1_3,1.961990603,0.008643321,3.808539208,35.19076935
R5,FN300012,2_1,1.685597431,0.050080459,2.757544329,41.02259857
R5,FN300012,2_2,13.56718177,0.023546777,7.896148981,35.41687784
R5,FN300012,2_3,6.774455279,0.081653244,5.326846655,34.09516909
R5,FN301952,1_1,2.689124452,0.008211684,15.52775042,36.87541791
R5,FN301952,1_2,3.634596231,0.036031354,3.525363341,35.42217187
R5,FN301952,1_3,11.23273275,0.008026587,14.82636399,34.09385245
R5,FN301952,2_1,9.5433218,0.006141799,17.42608136,37.08709337
R5,FN301952,2_2,1.984915518,0.002627504,12.33862708,44.18702178
R5,FN301952,2_3,2.255547864,0.020132825,10.7904864,45.44604313
R6,Williams 82,1_1,1.587065492,0.025046301,19.9294145,37.22331749
R6,Williams 82,1_2,1.17225339,0.015746106,21.3731367,29.92754303
R6,Williams 82,1_3,1.337372946,0.016537038,21.5014564,40.96991501
R6,Williams 82,2_1,1.587065492,0.025046301,19.9294145,37.22331749
R6,Williams 82,2_2,1.17225339,0.015746106,21.3731367,29.92754303
R6,Williams 82,2_3,1.337372946,0.016537038,21.5014564,40.96991501
R6,FN300012,1_1,0.13170621,0.080238375,20.04091809,41.74090933
R6,FN300012,1_2,1.650127907,0.010197719,23.39960857,44.63432043
R6,FN300012,1_3,2.099637678,0.010850724,21.27998036,44.44774046
R6,FN300012,2_1,1.059323384,0.041203912,22.45569812,46.08971911
R6,FN300012,2_2,1.064212661,0.051150312,24.17748426,31.64529202
R6,FN300012,2_3,1.082844109,0.055733377,24.09193257,32.22760598
R6,FN301952,1_1,0.491288387,0.046981406,23.25643213,41.19455757
R6,FN301952,1_2,2.053256303,0.123037489,23.58174718,44.49797866
R6,FN301952,1_3,1.648043195,0.122294539,21.61477589,45.094065
R6,FN301952,2_1,1.304725769,0.045473338,21.78945234,38.00308298
R6,FN301952,2_2,2.411534614,0.079204739,21.82747541,38.7631109
R6,FN301952,2_3,1.701138816,0.0435128,24.65171584,38.03974757
R7,Williams 82,1_1,1.194751698,3.389932549,21.82010859,41.4956729
R7,Williams 82,1_2,1.705332717,3.695287311,38.74308237,41.39804007
R7,Williams 82,1_3,0.500904545,0.700101833,15.95723086,47.12263815
R7,Williams 82,2_1,1.134695006,0.977067806,25.89587907,36.36489369
R7,Williams 82,2_2,0.96419304,0.832457145,25.64706616,32.40788636
R7,Williams 82,2_3,0.709015072,0.665562646,23.72834101,34.18835534
R7,FN300012,1_1,0.454677586,0.442064352,26.78134987,40.50529409
R7,FN300012,1_2,0.773274539,0.129907258,24.08925271,36.72417105
R7,FN300012,1_3,0.468573136,0.920113536,23.31100177,34.25917027
R7,FN300012,2_1,0.696328018,0.680457865,23.65442787,54.32092325
R7,FN300012,2_2,1.328722416,1.332803349,25.75605834,40.17135625
R7,FN300012,2_3,0.599550861,0.539804449,23.22613261,44.33118103
R7,FN301952,1_1,0.676801555,0.696069053,23.74701351,41.10928489
R7,FN301952,1_2,0.802962671,1.081133436,24.9382258,42.628643
R7,FN301952,1_3,0.762851531,0.201087597,20.07407328,54.73259308
R7,FN301952,2_1,0.507017421,0.972947932,19.23814477,46.53440636
R7,FN301952,2_2,0.569371531,0.321996431,18.9061643,49.33476053
R7,FN301952,2_3,0.550108805,1.167003617,17.51787459,46.00848902
R7.5,Williams 82,1_1,1.513646782,2.942122134,24.43120991,40.56897524
R7.5,Williams 82,1_2,1.348755987,1.838889524,19.51424354,42.78488592
R7.5,Williams 82,1_3,1.006386158,1.641380738,25.6522816,41.08563817
R7.5,Williams 82,2_1,0.921333937,2.285722779,26.13346176,50.71025213
R7.5,Williams 82,2_2,0.835442619,1.641028434,24.9234463,37.1483086
R7.5,Williams 82,2_3,0.722364149,1.099815679,20.38481626,40.31724201
R7.5,FN300012,1_1,2.597012893,5.057586133,25.78944881,53.71124512
R7.5,FN300012,1_2,1.123602328,1.720207322,27.56986748,61.65194883
R7.5,FN300012,1_3,0.761905138,1.291992436,25.61407715,45.70960837
